mjd,ra,dec,Redshift,gw,flarename
59018.0902448762,350.2187288631211,-0.6336898501795827,0.6020469664774389,False,0
58950.975000654566,159.04524354879686,-18.55404351441305,0.8695961193861506,False,1
58792.95782549163,136.3498181313312,86.77840279653596,1.0906389465552273,False,2
58760.65248698815,99.34094925653406,5.275787122912441,1.1789440126117774,False,3
58907.78017536958,347.79747932439903,-23.16234396569322,1.0954481779728595,False,4
58679.70034511453,20.952937895703837,-14.992736952988553,0.3539747255692289,False,5
58949.03618748624,147.14420359026775,23.062421863594373,1.338109634903606,False,6
59098.13226410543,60.70638403025497,-49.42074326317604,1.554318878828941,False,7
58713.78782327841,86.45186102460762,31.09391424800469,1.9592679158914956,False,8
59102.05479606795,280.80282828031625,50.13306620513584,1.2772254791154545,False,9
58945.9779827844,73.35633461602045,-2.8509371764779687,1.8712362119505697,False,10
58629.36216074929,198.7383437141838,-7.203312416962354,1.9083504800060456,False,11
58821.07063188728,132.1178911386003,-45.542523778231214,0.764765639813461,False,12
59067.47427621862,182.62141970124847,-8.888696956114496,0.4586814690124715,False,13
58962.722629701486,120.0376068106629,31.925990368448605,0.6892786563274311,False,14
58757.13849738141,101.77980267883623,-9.906067316846777,1.5576955563839368,False,15
58982.93557698975,101.45890846987452,13.8783919355131,0.8449775924030428,False,16
58698.20985112223,30.737265163663597,-65.84489498475183,0.5744671516166115,False,17
58621.43574946208,173.45291608104668,-34.09379072580876,1.89219553728138,False,18
58664.82736636471,318.0034420252396,-36.323420990761015,1.4661339819047468,False,19
58764.69026873944,341.0019957636076,74.22717076923684,1.921853507744267,False,20
58834.012295165376,9.858139893762768,-65.63005544056332,0.9500174120472664,False,21
58723.85992874156,330.3908080209204,-34.705818217607124,0.730115483142471,False,22
59028.292929362,43.748830614747455,-69.58677909022781,0.6252003937649114,False,23
58683.335774170366,269.2251935228912,16.204737287554664,1.893225345594021,False,24
58647.96608004191,322.74746713789017,17.838850463858353,0.6790051175260303,False,25
58627.01628232414,60.454727977376265,-17.996385533924748,1.65034252110283,False,26
58907.92384798475,119.32675893605212,-68.01638604234888,0.7645778010657769,False,27
59049.88620925254,136.13638522168893,-7.468385248051805,1.7512103145384066,False,28
58909.61583720058,124.86562476270876,-41.09752795664152,0.4313558023154315,False,29
59092.69341872712,185.85205240153056,-8.42713513237156,1.0279437230631625,False,30
58977.866747999535,3.237849853678933,-14.736820421637592,1.0585431222735662,False,31
59053.1055771105,152.16415361365804,-33.90567570573873,1.9547504546138288,False,32
59091.22457390116,315.95678262418204,43.10063688848557,1.810675677050551,False,33
58878.89562407834,31.465855026890388,22.65802583768636,1.0321675885045192,False,34
59095.84361838419,174.27053428489327,-3.365748497436964,1.090209707701297,False,35
58850.5234947096,173.2419818425909,-11.573765503667412,1.5144353110044648,False,36
58727.93422830283,281.7257365151515,-51.43672734438756,1.4026116031995004,False,37
58826.57849128999,347.2414470498207,11.892558926212743,1.804103834918497,False,38
58944.75963665714,254.55471898879557,0.4757837804430959,1.4729507640365702,False,39
58759.58683095753,98.54521952957866,54.1704607268591,1.2195446532434977,False,40
59076.88070531434,241.2407881691489,69.68859181300988,1.817434622714807,False,41
58718.68023880263,125.11252898936584,38.25705055585156,0.954099509165879,False,42
58764.53962071357,276.5260209797674,47.17156048846599,1.0088805204460087,False,43
58719.66622043259,243.277709850895,-0.4824675252185031,0.9838185308423268,False,44
58773.1946337526,351.9115300898134,-14.621684666539204,1.184501241718135,False,45
58579.00216899378,312.0155242540636,-2.408255494935132,0.3524994195262498,False,46
58924.56901339567,16.598885272540578,3.5824692162917864,1.1317385991756392,False,47
58732.70531752587,104.51653671154754,39.44918234434852,0.9312556784604236,False,48
58613.950722082605,310.46079516806884,-44.265745217592766,0.8161531293797591,False,49
58918.0434175603,216.30522025467556,11.602331954267305,0.823065254742971,False,50
58673.93268029572,123.93286505463271,54.28979371801963,1.6426396175527638,False,51
