flarename,Redshift,logMBH,t_g,t_e,logE,vk_min,ra,dec,t_peak_g,f_peak_g,t_rise_g,t_decay_g,f_base_g,t_peak_i,f_peak_i,t_rise_i,t_decay_i,f_base_i,t_peak_r,f_peak_r,t_rise_r,t_decay_r,f_base_r,mjd
J124942.30+344928.9,0.438,8.6,11.7,45.3,51.6,5,192.42624999999998,34.82469444444445,58665.00000000001,-0.3567661981693529,7.634992561703092,65.60208986541735,19.03827133243068,58684.99999999999,-0.3243279089681287,24.38392187190468,82.12058245140288,18.843972428841152,58669.74128184143,-0.3057134052593639,12.756399312181896,98.85068339447064,18.88547705373219,58642.0950223149
J183412.42+365655.3,0.419,9.1,12.7,41.0,50.5,15,278.55175,36.94869444444444,58693.98934738734,-0.2557074057750274,15.626914000780433,36.98652725962774,19.123421375626563,58690.00000005861,-0.127827177258441,2.9949660531218925,13.649306937867715,18.493422675650805,58691.73389868591,-0.152532517514399,12.758305228478324,34.17542153947925,18.68875137280154,58647.108605384994
J181719.94+541910.0,0.234,8.0,12.9,35.6,51.4,1,274.3330833333334,54.31944444444445,58790.00000000001,-0.7004516529515676,28.80187738177191,95.58739614309783,20.37255423860072,58809.97270394935,-0.550793312237817,30.841406583644485,42.303053546952974,18.99054684139441,58809.99999999999,-0.4169594293475175,37.08679400429694,82.54496027749921,19.4892278860992,58703.59436785469
J224333.95+760619.2,0.353,8.8,11.3,18.3,50.5,6,340.89145833333333,76.10533333333333,58777.76291694029,-0.1508812845535369,32.760613997710884,42.518736228402304,18.49719136642886,,,,,,58772.51416615871,-0.1193553251594319,11.91097873056535,34.19604259218285,17.9641266185137,58679.48107494716
J120437.98+500024.0,0.389,8.0,20.2,47.4,51.5,2,181.15825,50.00666666666667,58896.03786130998,-0.799307803715809,21.157163713137155,41.005558084138855,19.776148347490185,58904.01071521679,-0.3575952984086837,28.42880000791616,26.63151924914884,19.110974997406505,58901.56609884448,-0.3888795663561696,22.200817491804184,20.10251175967011,19.281659199622236,58832.56637017057
J154342.46+461233.4,0.599,9.3,12.0,123.4,51.4,24,235.92691666666667,46.20927777777778,58959.99999999998,-0.1174346643330997,24.711146391187267,207.90990554689415,17.548121293261374,58950.05137412365,-0.0286796912687911,18312.48356921009,69.57134578893098,17.184635766193992,58958.42453499345,-0.1130232775063121,22.59684698921072,368.9675507714827,17.411966721301944,58885.86656082641
